source_candidate_id	normalized_lemma	pos	yaitron_entry_id	translation_en	similar_translations_en	headword_entry_count	headword_pos_values	translation_zh_tw_candidate	candidate_status
th5000-cand-20260708-0003	การ	n	31776	task	work; job	1	n	任務	authored_needs_review
th5000-cand-20260708-0008	รา	n	5843	fungus	mold; mould	2	n;v	真菌	authored_needs_review
th5000-cand-20260708-0015	รับ	v	4040	receive	get; accept; obtain; acquire; take; be given	7	v	接收	authored_needs_review
th5000-cand-20260708-0018	วาม	adj	18193	glittering	sparkling; twinkling; glimmering; glistening	1	adj	閃閃發光	authored_needs_review
th5000-cand-20260708-0026	หน	n	35961	time	occasion; turn	3	clas;n	時間	authored_needs_review
th5000-cand-20260708-0031	งก	v	12751	covet	crave; desire; wish for	2	adv;v	覬覦	authored_needs_review
th5000-cand-20260708-0035	อม	v	6723	embezzle	misappropriate; swindle	3	v	挪用公款	authored_needs_review
th5000-cand-20260708-0039	เข	n	10066	species of plant		5	adj;n;v	植物種類	authored_needs_review
th5000-cand-20260708-0044	พร	n	14049	blessing	benediction; favour	1	n	祝福	authored_needs_review
th5000-cand-20260708-0051	กล	n	29275	magic	sleight-of-hand; juggling	2	n	魔術	authored_needs_review
th5000-cand-20260708-0056	เห	v	7843	turn	swerve; veer; diverge; deviate; deflect; turn aside	1	v	轉向	authored_needs_review
th5000-cand-20260708-0067	แบ	v	11885	open	unfold; expand; unfurl; spread (out)	3	v	打開	authored_needs_review
th5000-cand-20260708-0070	อย่าง	n	7980	method	way; means	3	adv;n	方法	authored_needs_review
th5000-cand-20260708-0077	นว	n	34951	nine		2	adj;n	九	authored_needs_review
th5000-cand-20260708-0085	รส	n	1602	Ministry of Labour and Social Welfare		3	n	勞動與社會福利部	authored_needs_review
th5000-cand-20260708-0089	โดย	adp	21153	by	by means of; through	2	conj;prep	透過	authored_needs_review
th5000-cand-20260708-0097	เพื่อ	conj	5476	for	for the sake of; for the purpose of; on behalf of; in order that; in order to; so that	1	conj	為了	authored_needs_review
th5000-cand-20260708-0100	ข้อ	n	32338	item		4	n	項目	authored_needs_review
th5000-cand-20260708-0106	กษ	n	1388	Ministry of Agriculture and Cooperatives		1	n	農業與合作社部	authored_needs_review
th5000-cand-20260708-0117	ผล	n	16770	advantage	benefit	5	clas;n	優勢	authored_needs_review
th5000-cand-20260708-0121	ยม	n	26930	the God of Death	Yama	6	n;v	死神	authored_needs_review
th5000-cand-20260708-0125	ออนไลน์	v	775	on line		1	v	線上	authored_needs_review
th5000-cand-20260708-0129	ราย	n	5871	case	instance; person; item; account; issue; story; party; statement; record	2	clas;n	個案	authored_needs_review
th5000-cand-20260708-0132	ร้า	n	26732	fish preserved with salt	fermented fish	3	n	鹽醃魚	authored_needs_review
th5000-cand-20260708-0135	เจ	n	23622	vegetarian food	vegetarian	1	n	素食	authored_needs_review
th5000-cand-20260708-0138	ค้า	v	11161	trade	buy and sell; do business; deal; transact; barter; vend; commerce; exchange; traffic in; transact	1	v	做生意	authored_needs_review
th5000-cand-20260708-0142	โป	n	16652	Chinese gambling		1	n	中國式賭博	authored_needs_review
th5000-cand-20260708-0145	ชิ	intj	28363	exclamation of anger	tut	1	int	表示憤怒的感嘆詞	authored_needs_review
th5000-cand-20260708-0151	ชน	n	28025	people		4	n;v	人	authored_needs_review
th5000-cand-20260708-0155	ค่า	n	11158	fee	charge; expense; wage; due	3	n	費用	authored_needs_review
th5000-cand-20260708-0163	รด	v	26287	water	sprinkle; pour	1	v	澆水	authored_needs_review
th5000-cand-20260708-0167	มิ	adv	16060	not	no	2	neg	不	authored_needs_review
th5000-cand-20260708-0170	ติด	n	22396	Echeneidae		17	n;v	鮣科	authored_needs_review
th5000-cand-20260708-0174	แก	pron	9893	you		1	pron	你	authored_needs_review
th5000-cand-20260708-0181	มูล	n	4867	ground	starting-point; source	2	n	根源	authored_needs_review
th5000-cand-20260708-0185	สด	v	7310	be fresh	be green	3	adj;adv;v	新鮮	authored_needs_review
th5000-cand-20260708-0188	ลอด	v	6013	pass through	go under; go through	1	v	穿過	authored_needs_review
th5000-cand-20260708-0192	กรรม	n	29202	sin	wrong-doing; badness; transgression; wickedness	3	n	罪惡	authored_needs_review
th5000-cand-20260708-0195	บ้า	v	5024	be wild about	be mad; be freak; be crazy about	4	adj;v	對…著迷	authored_needs_review
th5000-cand-20260708-0198	ตั้ง	v	22053	establish	form; stand; set up; erect; found	8	adv;clas;v	建立	authored_needs_review
th5000-cand-20260708-0201	เลย	n	17960	Loei		5	adv;aux;n;v	黎府	authored_needs_review
th5000-cand-20260708-0209	ยุ	v	9393	incite	urge; stir up; instigate; egg on; provoke; encourage; spur	1	v	煽動	authored_needs_review
th5000-cand-20260708-0216	ลด	v	17476	fall	drop; descend	3	v	掉落	authored_needs_review
th5000-cand-20260708-0219	น่า	v	35219	should	would rather; have better	1	aux	應該	authored_needs_review
th5000-cand-20260708-0222	ร้าง	v	5849	be deserted	be abandoned; be unoccupied; be desolate; be disused	2	adj;v	荒無人煙	authored_needs_review
th5000-cand-20260708-0225	สร้าง	n	38893	platform		3	n;v	平台	authored_needs_review
th5000-cand-20260708-0229	ถา	v	23330	swoop down	rush; hurtle; dash; fly; lurch; lunge; plunge	1	v	俯衝而下	authored_needs_review
th5000-cand-20260708-0233	ท่าน	pron	24748	you		1	pron	你	authored_needs_review
th5000-cand-20260708-0238	ได้รับ	v	21247	receive	take; obtain; gain; get; acquire	1	v	接收	authored_needs_review
th5000-cand-20260708-0241	นคร	n	34878	city	town	1	n	城市	authored_needs_review
th5000-cand-20260708-0247	สมัคร	v	3103	volunteer	enlist	2	v	自願	authored_needs_review
th5000-cand-20260708-0256	ที่สุด	adj	34353	most	maximum; greatest; largest; utmost	2	adj;adv	最	authored_needs_review
th5000-cand-20260708-0260	ดล	n	33572	floor	ground	1	n	樓層	authored_needs_review
th5000-cand-20260708-0266	พระ	n	4965	Buddha image		3	n	佛像	authored_needs_review
th5000-cand-20260708-0270	นัง	n	5310	woman	girl	1	n	女人	authored_needs_review
th5000-cand-20260708-0277	วอ	n	4410	palanquin	sedan chair; litter	1	n	轎子	authored_needs_review
th5000-cand-20260708-0282	ชาติ	n	28258	life	incarnation; existence	4	n	生命	authored_needs_review
th5000-cand-20260708-0285	จน	v	13037	be poor	be impoverished; be poverty-stricken	2	conj;v	窮	authored_needs_review
th5000-cand-20260708-0290	ใหญ่	v	16100	be big	be large; be grand; be huge; be great; be enormous; be immense; be massive; be vast	4	adj;v	大	authored_needs_review
th5000-cand-20260708-0296	พนัน	v	13996	bet	gamble; wager	1	v	打賭	authored_needs_review
th5000-cand-20260708-0301	กง	n	29323	wheel	rim; circle	1	n	輪	authored_needs_review
th5000-cand-20260708-0308	การณ์	n	32026	event	circumstances; situation	1	n	事件	authored_needs_review
th5000-cand-20260708-0312	เทพ	n	715	god	deity; goddess	1	n	神	authored_needs_review
th5000-cand-20260708-0315	ราง	n	26750	gutter	waterspout; rainspout; downspout; water trough; spout	6	adv;n	天溝	authored_needs_review
th5000-cand-20260708-0318	ทุน	n	34435	capital	asset; fund; investment; grant; stipend	1	n	資本	authored_needs_review
th5000-cand-20260708-0324	แป	n	15655	purlin		4	adj;n;v	檁條	authored_needs_review
th5000-cand-20260708-0328	สอบ	v	7407	take an exam	examine; take a test; test; quiz	2	adj;v	考試	authored_needs_review
th5000-cand-20260708-0331	หมาย	n	20891	warrant		2	n;v	令狀	authored_needs_review
th5000-cand-20260708-0336	ลับ	v	6946	fade	die away; vanish; disappear; dissolve; wane	3	adj;v	消退	authored_needs_review
