"source_candidate_id"	"verdict"	"current_translation_zh_tw"	"suggested_translation_zh_tw"	"reason"
"th5000-cand-20260708-0003"	"PASS"	"任務"	""	""
"th5000-cand-20260708-0008"	"PASS"	"真菌"	""	""
"th5000-cand-20260708-0015"	"PASS"	"接收"	""	""
"th5000-cand-20260708-0018"	"PASS"	"閃閃發光"	""	""
"th5000-cand-20260708-0026"	"PASS"	"時間"	""	""
"th5000-cand-20260708-0031"	"PASS"	"覬覦"	""	""
"th5000-cand-20260708-0035"	"PASS"	"挪用公款"	""	""
"th5000-cand-20260708-0039"	"PASS"	"植物種類"	""	""
"th5000-cand-20260708-0044"	"PASS"	"祝福"	""	""
"th5000-cand-20260708-0051"	"PASS"	"魔術"	""	""
"th5000-cand-20260708-0056"	"PASS"	"轉向"	""	""
"th5000-cand-20260708-0067"	"PASS"	"打開"	""	""
"th5000-cand-20260708-0070"	"PASS"	"方法"	""	""
"th5000-cand-20260708-0077"	"PASS"	"九"	""	""
"th5000-cand-20260708-0085"	"PASS"	"勞動與社會福利部"	""	""
"th5000-cand-20260708-0089"	"PASS"	"透過"	""	""
"th5000-cand-20260708-0097"	"PASS"	"為了"	""	""
"th5000-cand-20260708-0100"	"PASS"	"項目"	""	""
"th5000-cand-20260708-0106"	"PASS"	"農業與合作社部"	""	""
"th5000-cand-20260708-0117"	"PASS"	"優勢"	""	""
"th5000-cand-20260708-0121"	"PASS"	"死神"	""	""
"th5000-cand-20260708-0125"	"PASS"	"線上"	""	""
"th5000-cand-20260708-0129"	"PASS"	"個案"	""	""
"th5000-cand-20260708-0132"	"PASS"	"鹽醃魚"	""	""
"th5000-cand-20260708-0135"	"PASS"	"素食"	""	""
"th5000-cand-20260708-0138"	"PASS"	"做生意"	""	""
"th5000-cand-20260708-0142"	"PASS"	"中國式賭博"	""	""
"th5000-cand-20260708-0145"	"PASS"	"表示憤怒的感嘆詞"	""	""
"th5000-cand-20260708-0151"	"PASS"	"人"	""	""
"th5000-cand-20260708-0155"	"PASS"	"費用"	""	""
"th5000-cand-20260708-0163"	"PASS"	"澆水"	""	""
"th5000-cand-20260708-0167"	"PASS"	"不"	""	""
"th5000-cand-20260708-0170"	"PASS"	"鮣科"	""	""
"th5000-cand-20260708-0174"	"PASS"	"你"	""	""
"th5000-cand-20260708-0181"	"PASS"	"根源"	""	""
"th5000-cand-20260708-0185"	"PASS"	"新鮮"	""	""
"th5000-cand-20260708-0188"	"PASS"	"穿過"	""	""
"th5000-cand-20260708-0192"	"PASS"	"罪惡"	""	""
"th5000-cand-20260708-0195"	"PASS"	"對…著迷"	""	""
"th5000-cand-20260708-0198"	"PASS"	"建立"	""	""
"th5000-cand-20260708-0201"	"PASS"	"黎府"	""	""
"th5000-cand-20260708-0209"	"PASS"	"煽動"	""	""
"th5000-cand-20260708-0216"	"PASS"	"掉落"	""	""
"th5000-cand-20260708-0219"	"PASS"	"應該"	""	""
"th5000-cand-20260708-0222"	"PASS"	"荒無人煙"	""	""
"th5000-cand-20260708-0225"	"PASS"	"平台"	""	""
"th5000-cand-20260708-0229"	"PASS"	"俯衝而下"	""	""
"th5000-cand-20260708-0233"	"PASS"	"你"	""	""
